model,n,R2,RMSE,MAE,skill_vs_persist_k1
persist_k1_common_iri,32,0.853,0.2108,0.1197,
persist_k2_common_iri,32,0.853,0.2108,0.1197,
persist_k3_common_iri,32,0.853,0.2108,0.1197,
xgb_monitoring_common_iri,32,0.733,0.2841,0.1785,
rf_monitoring_common_iri,32,0.727,0.2873,0.1622,
xgb_monitoring_delta_common_iri,32,0.9404,0.1342,0.1,0.3634
rf_monitoring_delta_common_iri,32,0.9568,0.1143,0.0808,0.4578
persist_k1_common_rutting,22,0.8096,1.4924,0.9545,
persist_k2_common_rutting,22,0.8096,1.4924,0.9545,
persist_k3_common_rutting,22,0.8096,1.4924,0.9545,
xgb_monitoring_common_rutting,22,0.7869,1.5788,1.3018,
rf_monitoring_common_rutting,22,0.7116,1.8365,1.4984,
persist_k1_common_distress,6,-0.4671,30.6077,17.8333,
persist_k2_common_distress,6,-0.4671,30.6077,17.8333,
persist_k3_common_distress,6,-0.4671,30.6077,17.8333,
xgb_monitoring_common_distress,6,0.7105,13.5955,9.4747,
rf_monitoring_common_distress,6,0.6987,13.8698,11.7151,
