section_key,shrp_id,fi_group,mean_fi,n_obs,R2,arch,note
Ontario_1622,1622,high,863.7,29,0.0103,xgb,"exploratory — no CI, < 30 obs"
Ontario_1622,1622,high,863.7,29,0.0625,rf,"exploratory — no CI, < 30 obs"
Ontario_1680,1680,moderate,600.9,18,-0.5477,xgb,"exploratory — no CI, < 30 obs"
Ontario_1680,1680,moderate,600.9,18,-0.1666,rf,"exploratory — no CI, < 30 obs"
Ontario_1806,1806,moderate,598.4,18,0.0482,xgb,"exploratory — no CI, < 30 obs"
Ontario_1806,1806,moderate,598.4,18,0.012,rf,"exploratory — no CI, < 30 obs"
Ontario_960,960,extreme,1222.1,9,-0.2518,xgb,"exploratory — no CI, < 30 obs"
Ontario_960,960,extreme,1222.1,9,-0.2927,rf,"exploratory — no CI, < 30 obs"
Ontario_961,961,extreme,1225.6,9,-0.9098,xgb,"exploratory — no CI, < 30 obs"
Ontario_961,961,extreme,1225.6,9,-0.5573,rf,"exploratory — no CI, < 30 obs"
Ontario_903,903,extreme,1225.6,10,0.4958,xgb,"exploratory — no CI, < 30 obs"
Ontario_903,903,extreme,1225.6,10,0.1052,rf,"exploratory — no CI, < 30 obs"
Ontario_1620,1620,moderate,604.6,18,-0.0228,xgb,"exploratory — no CI, < 30 obs"
Ontario_1620,1620,moderate,604.6,18,-0.1238,rf,"exploratory — no CI, < 30 obs"
